mut_type	proportion	all_proportion	family	sample
CtoA	0.373134	0.380805	C1	P4
CtoG	0.0895522	0.0712074	C1	P4
CtoT	0.253731	0.229102	C1	P4
AtoC	0.126984	0.102167	C1	P5
AtoG	0.15873	0.19195	C1	P5
AtoT	0.031746	0.0247678	C1	P5
CtoA	0.301587	0.380805	C1	P5
CtoG	0.0634921	0.0712074	C1	P5
CtoT	0.31746	0.229102	C1	P5
AtoC	0.0588235	0.0701754	C2	P1
AtoG	0.0882353	0.129825	C2	P1
AtoT	0.0294118	0.0526316	C2	P1
CtoA	0.411765	0.392982	C2	P1
CtoG	0.205882	0.129825	C2	P1
CtoT	0.205882	0.224561	C2	P1
AtoC	0.132353	0.0701754	C2	P2
AtoG	0.161765	0.129825	C2	P2
AtoT	0.0588235	0.0526316	C2	P2
CtoA	0.294118	0.392982	C2	P2
CtoG	0.161765	0.129825	C2	P2
CtoT	0.191176	0.224561	C2	P2
AtoC	0.0322581	0.0701754	C2	P3
AtoG	0.0806452	0.129825	C2	P3
AtoT	0.0806452	0.0526316	C2	P3
CtoA	0.419355	0.392982	C2	P3
CtoG	0.0967742	0.129825	C2	P3
CtoT	0.290323	0.224561	C2	P3
AtoC	0.0447761	0.0701754	C2	P4
AtoG	0.19403	0.129825	C2	P4
AtoT	0.0447761	0.0526316	C2	P4
CtoA	0.343284	0.392982	C2	P4
CtoG	0.134328	0.129825	C2	P4
CtoT	0.238806	0.224561	C2	P4
AtoC	0.0740741	0.0701754	C2	P5
AtoG	0.0925926	0.129825	C2	P5
AtoT	0.037037	0.0526316	C2	P5
CtoA	0.537037	0.392982	C2	P5
CtoG	0.0740741	0.129825	C2	P5
CtoT	0.185185	0.224561	C2	P5
AtoC	0.0877193	0.0902778	C3	P1
AtoG	0.22807	0.180556	C3	P1
AtoT	0.0526316	0.0659722	C3	P1
CtoA	0.368421	0.375	C3	P1
CtoG	0.157895	0.135417	C3	P1
CtoT	0.105263	0.152778	C3	P1
AtoC	0.0945946	0.0902778	C3	P2
AtoG	0.175676	0.180556	C3	P2
AtoT	0.0540541	0.0659722	C3	P2
CtoA	0.486486	0.375	C3	P2
CtoG	0.0810811	0.135417	C3	P2
CtoT	0.108108	0.152778	C3	P2
AtoC	0.0677966	0.0902778	C3	P3
AtoG	0.169492	0.180556	C3	P3
AtoT	0.0847458	0.0659722	C3	P3
CtoA	0.372881	0.375	C3	P3
CtoG	0.169492	0.135417	C3	P3
CtoT	0.135593	0.152778	C3	P3
AtoC	0.0566038	0.0902778	C3	P4
AtoG	0.169811	0.180556	C3	P4
AtoT	0.0754717	0.0659722	C3	P4
CtoA	0.320755	0.375	C3	P4
CtoG	0.188679	0.135417	C3	P4
CtoT	0.188679	0.152778	C3	P4
AtoC	0.152174	0.0902778	C3	P5
AtoG	0.173913	0.180556	C3	P5
AtoT	0.0652174	0.0659722	C3	P5
CtoA	0.26087	0.375	C3	P5
CtoG	0.0869565	0.135417	C3	P5
CtoT	0.26087	0.152778	C3	P5
